scenario,which_arm_restricted,num_agents,p,inertia,sim_id,agent_id,was_correct,time_to_lock
baseline,N/A,9,0.6,5,56,6,True,15
baseline,N/A,9,0.6,5,56,7,True,15
baseline,N/A,9,0.6,5,56,8,True,15
baseline,N/A,9,0.6,5,57,0,True,1
baseline,N/A,9,0.6,5,57,1,True,1
baseline,N/A,9,0.6,5,57,2,True,1
baseline,N/A,9,0.6,5,57,3,True,1
baseline,N/A,9,0.6,5,57,4,True,1
baseline,N/A,9,0.6,5,57,5,True,1
baseline,N/A,9,0.6,5,57,6,True,1
baseline,N/A,9,0.6,5,57,7,True,1
baseline,N/A,9,0.6,5,57,8,True,1
baseline,N/A,9,0.6,5,58,0,True,12
baseline,N/A,9,0.6,5,58,1,True,10
baseline,N/A,9,0.6,5,58,2,True,12
baseline,N/A,9,0.6,5,58,3,True,12
baseline,N/A,9,0.6,5,58,4,True,12
baseline,N/A,9,0.6,5,58,5,True,10
baseline,N/A,9,0.6,5,58,6,True,10
baseline,N/A,9,0.6,5,58,7,True,12
baseline,N/A,9,0.6,5,58,8,True,12
baseline,N/A,9,0.6,5,59,0,True,1
baseline,N/A,9,0.6,5,59,1,True,1
baseline,N/A,9,0.6,5,59,2,True,1
baseline,N/A,9,0.6,5,59,3,True,1
baseline,N/A,9,0.6,5,59,4,True,1
baseline,N/A,9,0.6,5,59,5,True,1
baseline,N/A,9,0.6,5,59,6,True,1
baseline,N/A,9,0.6,5,59,7,True,1
baseline,N/A,9,0.6,5,59,8,True,1
baseline,N/A,9,0.6,5,60,0,True,6
baseline,N/A,9,0.6,5,60,1,True,6
baseline,N/A,9,0.6,5,60,2,True,6
baseline,N/A,9,0.6,5,60,3,True,6
baseline,N/A,9,0.6,5,60,4,True,6
baseline,N/A,9,0.6,5,60,5,True,6
baseline,N/A,9,0.6,5,60,6,True,6
baseline,N/A,9,0.6,5,60,7,True,6
baseline,N/A,9,0.6,5,60,8,True,6
baseline,N/A,9,0.6,5,61,0,True,11
baseline,N/A,9,0.6,5,61,1,True,11
baseline,N/A,9,0.6,5,61,2,True,11
baseline,N/A,9,0.6,5,61,3,True,11
baseline,N/A,9,0.6,5,61,4,True,11
baseline,N/A,9,0.6,5,61,5,True,11
baseline,N/A,9,0.6,5,61,6,True,11
baseline,N/A,9,0.6,5,61,7,True,11
baseline,N/A,9,0.6,5,61,8,True,11
baseline,N/A,9,0.6,5,62,0,True,56
baseline,N/A,9,0.6,5,62,1,True,56
baseline,N/A,9,0.6,5,62,2,True,56
baseline,N/A,9,0.6,5,62,3,True,56
baseline,N/A,9,0.6,5,62,4,True,56
baseline,N/A,9,0.6,5,62,5,True,56
baseline,N/A,9,0.6,5,62,6,True,56
baseline,N/A,9,0.6,5,62,7,True,56
baseline,N/A,9,0.6,5,62,8,True,56
baseline,N/A,9,0.6,5,63,0,False,1
baseline,N/A,9,0.6,5,63,1,False,1
